Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2017-08-17 04:00:00,301.13,307.96,298.0,307.96,1561.95305,2017-08-17 07:59:59.999000 ,473487.6651185,711.0,1260.38649,382097.1599312,0.0
2017-08-17 08:00:00,307.95,312.0,307.0,308.95,1177.71088,2017-08-17 11:59:59.999000 ,364545.3164015,775.0,1093.84885,338587.6026837,0.0
2017-08-17 12:00:00,308.95,310.51,303.56,307.06,1882.05267,2017-08-17 15:59:59.999000 ,578644.9318904,1140.0,1742.14642,535627.1400191,0.0
2017-08-17 16:00:00,307.74,312.18,298.21,301.6,1208.05192,2017-08-17 19:59:59.999000 ,370209.0514672,957.0,1097.3202,336546.1797821,0.0
2017-08-17 20:00:00,301.6,310.85,299.01,302.0,1200.94182,2017-08-17 23:59:59.999000 ,367768.335479,939.0,1030.88803,315847.2861141,0.0
2017-08-18 00:00:00,302.0,306.47,295.19,301.4,1690.58319,2017-08-18 03:59:59.999000 ,510684.0659218,959.0,1276.3514,385103.528375,0.0
2017-08-18 04:00:00,301.4,309.49,298.41,306.24,1732.52616,2017-08-18 07:59:59.999000 ,527110.6080895,1068.0,1577.05641,479995.2791787,0.0
2017-08-18 08:00:00,306.24,311.79,303.22,307.78,1213.01283,2017-08-18 11:59:59.999000 ,372912.0009906,884.0,1065.02428,327373.385146,0.0
2017-08-18 12:00:00,307.78,310.29,296.32,298.8,1358.99471,2017-08-18 15:59:59.999000 ,412203.7088943,882.0,1163.6982,352905.7999398,0.0
2017-08-18 16:00:00,298.8,301.11,287.37,293.83,1620.71499,2017-08-18 19:59:59.999000 ,478865.9114307,885.0,1303.10778,385949.5609436,0.0
2017-08-18 20:00:00,295.46,295.46,283.94,293.96,1922.01458,2017-08-18 23:59:59.999000 ,557170.214027,980.0,1067.19735,309485.7076433,0.0
2017-08-19 00:00:00,293.31,299.84,292.83,293.22,282.19297,2017-08-19 03:59:59.999000 ,83456.3423327,338.0,181.1672,53611.7836624,0.0
2017-08-19 04:00:00,294.69,299.9,287.01,290.16,235.2921,2017-08-19 07:59:59.999000 ,68687.5957874,235.0,153.12521,44687.2433792,0.0
2017-08-19 08:00:00,290.16,293.17,278.0,282.58,1139.03045,2017-08-19 11:59:59.999000 ,327267.7431853,686.0,886.04998,255176.2737893,0.0
2017-08-19 12:00:00,281.39,290.85,279.56,288.64,288.29994,2017-08-19 15:59:59.999000 ,82074.2629431,268.0,195.36225,55607.7537388,0.0
2017-08-19 16:00:00,288.64,295.0,284.16,293.31,127.38589,2017-08-19 19:59:59.999000 ,36930.9498645,166.0,82.05025,23868.0686511,0.0
2017-08-19 20:00:00,290.6,294.9,288.8,290.91,73.99638,2017-08-19 23:59:59.999000 ,21605.6957487,102.0,40.22061,11762.4889878,0.0
2017-08-20 00:00:00,289.41,292.42,285.96,292.41,68.40092,2017-08-20 03:59:59.999000 ,19769.4805676,93.0,37.94036,10988.6074406,0.0
2017-08-20 04:00:00,287.97,295.56,285.39,292.08,252.26228,2017-08-20 07:59:59.999000 ,73526.1604894,374.0,200.75023,58560.1124578,0.0
2017-08-20 08:00:00,293.02,296.89,282.85,295.0,240.75968,2017-08-20 11:59:59.999000 ,70008.9356821,243.0,205.12283,59626.9822761,0.0
2017-08-20 12:00:00,295.0,296.92,292.28,295.1,67.3647,2017-08-20 15:59:59.999000 ,19883.3749891,106.0,56.03058,16537.5834694,0.0
2017-08-20 16:00:00,295.1,300.53,293.28,297.88,361.56695,2017-08-20 19:59:59.999000 ,107254.7369296,337.0,297.70034,88380.2690994,0.0
2017-08-20 20:00:00,297.87,300.53,294.51,299.1,1519.78418,2017-08-20 23:59:59.999000 ,452405.2059021,885.0,1389.14305,413412.5072772,0.0
2017-08-21 00:00:00,299.1,300.9,294.6,299.85,723.80595,2017-08-21 03:59:59.999000 ,215847.2731584,649.0,544.49312,162591.880143,0.0
2017-08-21 04:00:00,300.03,329.49,299.11,318.5,888.57113,2017-08-21 07:59:59.999000 ,276314.8593611,915.0,702.76604,217536.5398401,0.0
2017-08-21 08:00:00,317.48,333.66,312.6,331.53,207.37686,2017-08-21 11:59:59.999000 ,66440.8503875,360.0,127.5513,40967.7248738,0.0
2017-08-21 12:00:00,331.33,346.52,325.42,334.94,1227.44025,2017-08-21 15:59:59.999000 ,412065.439751,801.0,1053.69938,354085.6643325,0.0
2017-08-21 16:00:00,334.34,342.72,316.82,329.71,1715.07272,2017-08-21 19:59:59.999000 ,569920.2927121,797.0,1269.93171,422705.9071844,0.0
2017-08-21 20:00:00,332.27,332.74,316.12,323.29,457.17851,2017-08-21 23:59:59.999000 ,148883.6258439,403.0,305.75812,100089.7067404,0.0
2017-08-22 00:00:00,321.04,330.41,280.0,280.0,809.61524,2017-08-22 03:59:59.999000 ,257673.9634469,722.0,394.31539,126391.7341766,0.0
2017-08-22 04:00:00,144.21,310.24,144.21,300.35,707.47249,2017-08-22 07:59:59.999000 ,210310.1205076,776.0,586.53369,174377.6023665,0.0
2017-08-22 08:00:00,300.35,313.16,296.0,308.03,2176.12505,2017-08-22 11:59:59.999000 ,666105.6986715,1482.0,1658.87408,506641.8263887,0.0
2017-08-22 12:00:00,311.16,311.24,301.48,308.39,1756.8306,2017-08-22 15:59:59.999000 ,540204.5904187,1612.0,829.22258,255456.2530277,0.0
2017-08-22 16:00:00,305.08,320.76,305.08,307.03,1304.2511,2017-08-22 19:59:59.999000 ,408170.1190835,1071.0,588.44737,184557.7136789,0.0
2017-08-22 20:00:00,307.03,313.99,305.08,309.8,1202.0564,2017-08-22 23:59:59.999000 ,371961.3111855,914.0,376.38821,117047.3586946,0.0
2017-08-23 00:00:00,312.25,319.78,309.41,317.26,1088.33347,2017-08-23 03:59:59.999000 ,341746.6220416,979.0,450.69375,142263.3018738,0.0
2017-08-23 04:00:00,315.45,324.99,315.35,319.06,1376.06321,2017-08-23 07:59:59.999000 ,440244.7944379,1114.0,463.17818,148597.7023709,0.0
2017-08-23 08:00:00,319.06,324.51,318.02,319.2,1285.87403,2017-08-23 11:59:59.999000 ,412512.5183367,1066.0,316.63519,102056.4213927,0.0
2017-08-23 12:00:00,319.2,322.0,313.75,319.2,2106.38559,2017-08-23 15:59:59.999000 ,667166.2692483,2560.0,366.97554,116642.3172453,0.0
2017-08-23 16:00:00,317.87,322.34,315.53,318.57,1635.49673,2017-08-23 19:59:59.999000 ,520572.1007219,1921.0,433.60926,138679.3998736,0.0
2017-08-23 20:00:00,318.57,320.2,312.05,315.74,1173.57266,2017-08-23 23:59:59.999000 ,371222.6402544,900.0,251.14441,79967.7748586,0.0
2017-08-24 00:00:00,315.74,318.45,314.01,315.22,1061.17398,2017-08-24 03:59:59.999000 ,335440.9332382,909.0,230.09831,73112.4483824,0.0
2017-08-24 04:00:00,315.22,322.36,314.31,318.54,1074.07592,2017-08-24 07:59:59.999000 ,341646.9327902,898.0,422.03713,134904.5376312,0.0
2017-08-24 08:00:00,318.54,323.61,316.14,323.61,1670.50319,2017-08-24 11:59:59.999000 ,532991.5709206,1657.0,307.68425,98430.9169854,0.0
2017-08-24 12:00:00,322.51,328.04,317.9,321.2,1138.04846,2017-08-24 15:59:59.999000 ,366358.3770851,1325.0,473.3061,152817.7828439,0.0
2017-08-24 16:00:00,323.67,325.35,318.97,321.23,909.12592,2017-08-24 19:59:59.999000 ,292864.2247642,866.0,305.48131,98706.2195868,0.0
2017-08-24 20:00:00,321.23,326.33,318.97,323.42,900.34445,2017-08-24 23:59:59.999000 ,290115.0753554,840.0,163.29319,52957.2417382,0.0
2017-08-25 00:00:00,323.42,330.44,323.42,326.55,1406.8485,2017-08-25 03:59:59.999000 ,459116.5390442,1553.0,527.38862,172522.1223975,0.0
2017-08-25 04:00:00,326.55,335.0,326.55,330.29,1115.60692,2017-08-25 07:59:59.999000 ,369187.3435858,1015.0,250.64415,83172.179134,0.0
2017-08-25 08:00:00,330.29,335.41,327.4,331.26,1199.42604,2017-08-25 11:59:59.999000 ,396584.5435174,946.0,407.73581,134752.801541,0.0
2017-08-25 12:00:00,329.68,335.33,328.72,333.15,1961.178,2017-08-25 15:59:59.999000 ,651830.8800525,2534.0,1175.79502,391087.1101333,0.0
2017-08-25 16:00:00,335.29,338.28,325.42,328.71,751.25954,2017-08-25 19:59:59.999000 ,250215.0180516,703.0,126.14582,42092.6043519,0.0
2017-08-25 20:00:00,329.91,332.27,324.9,327.24,691.65062,2017-08-25 23:59:59.999000 ,227227.7140425,701.0,108.11619,35687.8659607,0.0
2017-08-26 00:00:00,327.24,332.27,323.41,323.46,569.57801,2017-08-26 03:59:59.999000 ,186192.6597812,669.0,113.40231,37257.7635578,0.0
2017-08-26 04:00:00,323.46,329.69,323.41,327.9,1070.6985,2017-08-26 07:59:59.999000 ,348905.0036307,752.0,133.28904,43658.613168,0.0
2017-08-26 08:00:00,328.45,331.25,326.69,327.89,856.541,2017-08-26 11:59:59.999000 ,281625.5336969,704.0,197.71529,65340.753068,0.0
2017-08-26 12:00:00,328.25,335.44,324.06,327.0,940.58482,2017-08-26 15:59:59.999000 ,309311.3354243,759.0,231.94419,76581.1243994,0.0
2017-08-26 16:00:00,327.01,334.17,326.7,331.19,803.00095,2017-08-26 19:59:59.999000 ,264634.2610997,946.0,155.9936,51763.3678225,0.0
2017-08-26 20:00:00,332.68,334.17,329.33,330.79,637.28193,2017-08-26 23:59:59.999000 ,211325.5836838,570.0,109.65212,36530.6410846,0.0
2017-08-27 00:00:00,332.18,338.28,330.79,331.62,1056.62234,2017-08-27 03:59:59.999000 ,352807.9315293,1063.0,321.08828,107431.7661121,0.0
2017-08-27 04:00:00,334.5,338.29,331.49,332.77,689.1668,2017-08-27 07:59:59.999000 ,230458.1759741,825.0,201.0692,67504.4551811,0.0
2017-08-27 08:00:00,332.77,338.42,330.73,333.94,857.24989,2017-08-27 11:59:59.999000 ,286668.4148984,1075.0,270.24722,90883.8437769,0.0
2017-08-27 12:00:00,333.93,336.99,331.88,334.67,665.54231,2017-08-27 15:59:59.999000 ,222379.461745,722.0,125.57197,42149.5213787,0.0
2017-08-27 16:00:00,335.04,341.47,332.97,339.64,795.13177,2017-08-27 19:59:59.999000 ,267858.0880371,710.0,165.71474,56029.2771869,0.0
